,Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
0,30.0,-0.01991936,0.000550265612590865,-0.020236683333333335,0.0005955414427691457,3.0,0.02
1,33.947895791583164,-0.013371533333333333,0.0003954798556465577,-0.013317453333333333,0.00040908646904481646,3.0,0.02
2,37.895791583166336,-0.008634754000000001,0.00027669205405528617,-0.008485489333333332,0.00027860626799521606,3.0,0.01
3,41.8436873747495,-0.005453870999999999,0.00018182526367092113,-0.005310772333333334,0.00017984853369216617,3.0,0.01
4,45.791583166332664,-0.0033684403333333335,0.00011694467163245282,-0.0032601263333333335,0.00011424929646707776,3.0,0.005
5,49.739478957915836,-0.002058281333333333,7.524008084052601e-05,-0.001985601333333333,7.283210101474641e-05,3.0,0.002
6,53.687374749499,-0.0012931146666666667,5.8827373771815505e-05,-0.0012474136666666667,5.655625426560316e-05,1.0,0.002
7,57.635270541082164,-0.0007773853666666667,3.6749724302352114e-05,-0.0007528699666666667,3.514328180793908e-05,1.0,0.001
8,61.58316633266533,-0.0004710499333333334,2.412001809553403e-05,-0.00046055346666666673,2.2969878604719608e-05,1.0,0.0005
9,65.5310621242485,-0.0002928225666666667,1.2771420259530872e-05,-0.0002911159666666667,1.21239929491988e-05,1.0,0.0005
10,69.47895791583167,-0.0001839268,8.087710073108868e-06,-0.0001878105333333333,7.663897836537807e-06,1.0,0.0002
11,73.42685370741484,-0.00012180503333333333,4.440181824229975e-06,-0.00012883599999999998,4.227543936298396e-06,1.0,0.0002
12,77.374749498998,-8.444373333333333e-05,2.55250008636413e-06,-9.296607333333332e-05,2.4793551295895922e-06,1.0,0.0001
13,81.32264529058116,-6.409322e-05,1.39434220558178e-06,-7.294810333333332e-05,1.3936430369080254e-06,1.0,0.0001
14,85.27054108216433,-5.299360999999999e-05,7.312403751389378e-07,-6.159136666666666e-05,7.778274698729077e-07,1.0,0.0001
15,89.21843687374749,-4.759044e-05,3.1605793203145515e-07,-5.539119999999999e-05,4.0867166527666184e-07,1.0,0.0001
16,93.16633266533066,-4.568147666666667e-05,6.011929631065955e-08,-5.235745333333333e-05,1.803926933726039e-07,1.0,0.0001
17,97.11422845691384,-4.5983476666666665e-05,1.0328220138156535e-07,-5.118422333333333e-05,4.978743270701504e-08,1.0,0.0001
18,101.062124248497,-4.771511666666667e-05,2.0810701907645747e-07,-5.114734333333333e-05,3.119539157560913e-08,1.0,0.0001
19,105.01002004008016,-5.0354233333333326e-05,2.787742830479327e-07,-5.174637333333333e-05,7.503931384429241e-08,1.0,0.0001
20,108.95791583166333,-5.361585e-05,3.2630898215239655e-07,-5.2684033333333326e-05,9.857462937062255e-08,1.0,0.0001
21,112.90581162324649,-5.7298926666666665e-05,3.563428442135779e-07,-5.3810686666666664e-05,1.0940555358644055e-07,1.0,0.0001
22,116.85370741482966,-6.128415333333333e-05,3.82624660063736e-07,-5.501345666666666e-05,1.1473522180316819e-07,1.0,0.0001
23,120.80160320641284,-6.551093e-05,4.019505468338112e-07,-5.620369e-05,1.1132567044487099e-07,1.0,0.0001
24,124.749498997996,-6.995557666666667e-05,4.217958666490488e-07,-5.739938e-05,1.1184696807096135e-07,1.0,0.0001
25,128.69739478957916,-7.451098666666667e-05,4.3254238461553005e-07,-5.858042333333333e-05,1.0845297808523053e-07,1.0,0.0001
26,132.64529058116233,-7.924323e-05,4.5295771484028545e-07,-5.9726576666666666e-05,1.0463256880893052e-07,1.0,0.0001
27,136.5931863727455,-7.359245666666666e-05,1.488692797576301e-07,-6.775256666666666e-05,5.024350978539968e-07,1.0,0.0001
28,140.54108216432866,-7.610193666666666e-05,5.084632280924767e-07,-7.050978666666666e-05,7.947086146646659e-08,1.0,0.0001
29,144.48897795591182,-8.299882e-05,7.298180816249131e-07,-7.040758666666665e-05,6.584569200453104e-08,1.0,0.0001
30,148.43687374749499,-9.114466333333335e-05,7.692218217061252e-07,-6.958578333333333e-05,8.476176450630425e-08,1.0,0.0001
31,152.38476953907815,-9.942549e-05,8.676119687010622e-07,-6.865893666666667e-05,8.713929646771714e-08,1.0,0.0002
32,156.3326653306613,-0.0001087447,1.523159614091708e-06,-6.792642333333334e-05,9.108408819449304e-08,0.3,0.0002
33,160.2805611222445,-0.00011845583333333335,1.2963044416939854e-06,-6.745678333333332e-05,3.531365253772888e-08,0.3,0.0002
34,164.22845691382767,-0.00012674996666666666,1.119535513306995e-06,-6.741580666666666e-05,1.0771348827125133e-08,0.3,0.0002
35,168.17635270541084,-0.00013405553333333334,1.025015113167713e-06,-6.749154666666667e-05,2.0601176881159776e-08,0.3,0.0002
36,172.124248496994,-0.00014094456666666669,9.7884202618309e-07,-6.769791333333333e-05,2.9944991048402495e-08,0.3,0.0002
37,176.07214428857716,-0.00014772043333333333,9.709370622696867e-07,-6.782634333333333e-05,1.35688290659963e-08,0.3,0.0002
38,180.02004008016033,-0.00015435036666666666,9.618292462224699e-07,-6.777289666666667e-05,3.829315285471537e-09,0.3,0.0002
39,183.9679358717435,-0.00016105560000000002,9.71409580626697e-07,-6.770486e-05,5.99853315402993e-09,0.3,0.0002
40,187.91583166332666,-0.00016769956666666666,9.764776728402709e-07,-6.766687e-05,1.1612928140653712e-08,0.3,0.0002
41,191.86372745490982,-0.0001744898333333333,9.934718946983632e-07,-6.765346000000002e-05,1.2107287061930611e-08,0.3,0.0002
42,195.81162324649299,-0.0001813444333333333,1.006051810572177e-06,-6.741779333333332e-05,4.566840580630121e-08,0.3,0.0002
43,199.75951903807615,-0.00018850923333333335,1.046805511491459e-06,-6.698539666666666e-05,6.485333958675868e-08,0.3,0.0002
44,203.7074148296593,-0.0001969747333333333,1.1411117658766903e-06,-6.703059e-05,3.043727265486418e-08,0.3,0.0002
45,207.6553106212425,-0.00020500613333333332,9.687896824847457e-07,-6.644770666666667e-05,1.1457355987409232e-07,0.3,0.0005
46,211.60320641282567,-0.00021165310000000002,9.799476635684823e-07,-6.556758666666667e-05,1.2873538682981482e-07,0.3,0.0005
47,215.55110220440883,-0.00021852943333333335,1.0185766763261142e-06,-6.466752666666667e-05,1.2400365299278658e-07,0.3,0.0005
48,219.498997995992,-0.00022569986666666668,1.0613486305430234e-06,-6.377243999999999e-05,1.308333000424582e-07,0.3,0.0005
49,223.44689378757516,-0.00023316233333333335,1.1017522508360145e-06,-6.281881000000001e-05,1.4379003060017718e-07,0.3,0.0005
50,227.39478957915833,-0.0002408613,1.1315807866284532e-06,-6.173500666666667e-05,1.5801182853051035e-07,0.3,0.0005
51,231.3426853707415,-0.00024871016666666666,1.1463241276164243e-06,-6.059034666666667e-05,1.6877974944353445e-07,0.3,0.0005
52,235.29058116232466,-0.0002567408666666667,1.168082010058465e-06,-5.9312816666666656e-05,1.8763283309579755e-07,0.3,0.0005
53,239.23847695390782,-0.0002648978333333333,1.193484117568763e-06,-5.788428333333334e-05,2.1018644910861645e-07,0.3,0.0005
54,243.18637274549098,-0.0002730934333333333,1.1882971200653273e-06,-5.6465689999999996e-05,2.0938645825363217e-07,0.3,0.0005
55,247.13426853707415,-0.00028144410000000003,1.2168531916381695e-06,-5.487623333333334e-05,2.3831720784608825e-07,0.3,0.0005
56,251.0821643286573,-0.00028985430000000003,1.2192055924521774e-06,-5.325302666666667e-05,2.354933359755406e-07,0.3,0.0005
57,255.03006012024048,-0.0002983459666666666,1.2420161964411814e-06,-5.156719333333334e-05,2.5767685697831336e-07,0.3,0.0005
58,258.97795591182364,-0.0003068833666666667,1.242436248755736e-06,-4.9668780000000007e-05,2.808798205638849e-07,0.3,0.0005
59,262.9258517034068,-0.00031564246666666667,1.274936958790075e-06,-4.766010666666667e-05,3.013423932266344e-07,0.3,0.0005
60,266.87374749498997,-0.0003244645666666667,1.2869764743597928e-06,-4.5520303333333337e-05,3.2048126984618376e-07,0.3,0.0005
61,270.82164328657313,-0.0003333228333333333,1.2974431543959427e-06,-4.324836666666666e-05,3.2690326839737925e-07,0.3,0.0005
62,274.7695390781563,-0.0003423265,1.3087233919612953e-06,-4.086418333333334e-05,3.5128394600696237e-07,0.3,0.0005
63,278.71743486973946,-0.0003514109333333332,1.3376553600319581e-06,-3.8378670000000004e-05,3.653037623220803e-07,0.3,0.0005
64,282.6653306613226,-0.00036056940000000007,1.3334792486824366e-06,-3.580474333333333e-05,3.7772798209234646e-07,0.3,0.0005
65,286.61322645290585,-0.00036974750000000003,1.3423803174460904e-06,-3.310465666666666e-05,3.9584467971106543e-07,0.3,0.0005
66,290.561122244489,-0.00037907459999999996,1.3590622894726558e-06,-3.029222e-05,4.1146240281869433e-07,0.3,0.0005
67,294.5090180360722,-0.00038843043333333335,1.3633418911711804e-06,-2.7354676666666668e-05,4.292552439464841e-07,0.3,0.0005
68,298.45691382765534,-0.00039794529999999997,1.3832358957651941e-06,-2.423735666666667e-05,4.5150207063632474e-07,0.3,0.0005
69,302.4048096192385,-0.00040753179999999993,1.3938999342372657e-06,-2.112698e-05,4.555918958892922e-07,0.3,0.0005
70,306.35270541082167,-0.0004172403,1.407112602696272e-06,-1.7888469999999998e-05,4.751344821205886e-07,0.3,0.0005
71,310.30060120240483,-0.0004269539333333333,1.4259635790892041e-06,-1.4541603333333335e-05,5.000519856197176e-07,0.3,0.0005
72,314.248496993988,-0.0004368076,1.4304532521780192e-06,-1.0942483333333332e-05,5.276553901195573e-07,0.3,0.0005
73,318.19639278557116,-0.00044667810000000003,1.427213493723577e-06,-7.309555333333333e-06,5.256337979730332e-07,0.3,0.0005
74,322.1442885771543,-0.00045658236666666657,1.4655703209179543e-06,-3.5802733333333333e-06,5.560006350615878e-07,0.3,0.0005
75,326.0921843687375,-0.00046652243333333333,1.4349611535585956e-06,3.3676838333333333e-07,5.685514524367566e-07,0.3,0.0005
76,330.04008016032066,-0.00047652506666666665,1.4643998528028096e-06,4.323349666666667e-06,5.905087509172822e-07,0.3,0.0005
77,333.9879759519038,-0.00048664933333333334,1.4751125004178175e-06,8.476829e-06,6.100759988577926e-07,0.3,0.0005
78,337.935871743487,-0.0004968153666666667,1.4812847235498752e-06,1.270777e-05,6.23407300860895e-07,0.3,0.0005
79,341.88376753507015,-0.0005082803333333333,1.4851272972001134e-06,1.7541756666666668e-05,6.327036692814596e-07,0.3,0.001
80,345.8316633266533,-0.0005183913333333334,1.450557096045814e-06,2.1944563333333335e-05,6.494964903591775e-07,0.3,0.001
81,349.7795591182365,-0.0005284902999999999,1.5482826647611888e-06,2.6788433333333333e-05,7.108913022084004e-07,0.3,0.001
82,353.72745490981964,-0.0005390383,1.488856119083807e-06,3.123702e-05,6.533070051157677e-07,0.3,0.001
83,357.6753507014028,-0.0005492406666666666,1.484541238527533e-06,3.600144e-05,7.040683738577293e-07,0.3,0.001
84,361.62324649298597,-0.0005595721333333333,1.5124564067179586e-06,4.093869e-05,7.24812306439858e-07,0.3,0.001
85,365.57114228456913,-0.0005700406666666667,1.526419368616941e-06,4.5983230000000006e-05,7.405965181977744e-07,0.3,0.001
86,369.5190380761523,-0.0005806582333333333,1.541833533672034e-06,5.123837333333333e-05,7.718734503070367e-07,0.3,0.001
87,373.46693386773546,-0.0005912877,1.5443509348590374e-06,5.668027666666666e-05,7.963982658123313e-07,0.3,0.001
88,377.4148296593186,-0.0006019510333333334,1.5628457267291503e-06,6.222372666666668e-05,8.14369404686158e-07,0.3,0.001
89,381.3627254509018,-0.0006126997333333334,1.5564272963710487e-06,6.788817000000001e-05,8.243917984995568e-07,0.3,0.001
90,385.310621242485,-0.0006235676333333333,1.5884042617951073e-06,7.365392666666665e-05,8.40709244996285e-07,0.3,0.001
91,389.2585170340682,-0.0006345130333333332,1.577808363592428e-06,7.958260666666669e-05,8.592282304228337e-07,0.3,0.001
92,393.20641282565134,-0.0006454684000000001,1.5876955333648339e-06,8.563047999999998e-05,8.886857042471952e-07,0.3,0.001
93,397.1543086172345,-0.0006564595,1.595006327051198e-06,9.183731333333334e-05,9.012829306913311e-07,0.3,0.001
94,401.10220440881767,-0.0006675300333333334,1.6158630817271895e-06,9.817328666666665e-05,9.250473331072785e-07,0.3,0.001
95,405.05010020040083,-0.0006786344,1.6153262539396387e-06,0.00010463849999999999,9.499135311525286e-07,0.3,0.001
96,408.997995991984,-0.0006897268333333333,1.6061776382317065e-06,0.00011117306666666665,9.575068296826343e-07,0.3,0.001
97,412.94589178356716,-0.000700853,1.6156494050381148e-06,0.00011784086666666667,9.74126471369207e-07,0.3,0.001
98,416.8937875751503,-0.0007120328333333334,1.6373232033481513e-06,0.0001247098,1.0022129647268901e-06,0.3,0.001
99,420.8416833667335,-0.0007232067666666667,1.6268104106570734e-06,0.00013169933333333333,1.0180530547187712e-06,0.3,0.001
100,424.78957915831666,-0.0007343886,1.6308898716140683e-06,0.00013881216666666667,1.0420664112980342e-06,0.3,0.001
101,428.7374749498998,-0.0007456340000000001,1.6486050264794622e-06,0.0001461296666666667,1.0582527528378494e-06,0.3,0.001
102,432.685370741483,-0.0007570105333333332,1.6563471804613475e-06,0.00015357823333333334,1.083985137761992e-06,0.3,0.001
103,436.63326653306615,-0.0007683394,1.6455254601494382e-06,0.00016105860000000002,1.0897985930131e-06,0.3,0.001
104,440.5811623246493,-0.0007794576999999999,1.620509388021756e-06,0.00016858273333333331,1.0936445776495316e-06,0.3,0.001
105,444.5290581162325,-0.0007909136666666666,1.684850979232964e-06,0.00017623203333333332,1.124932723420481e-06,0.3,0.001
106,448.47695390781564,-0.0008024768666666668,1.6752099118883198e-06,0.00018414753333333332,1.1527898546087616e-06,0.3,0.001
107,452.4248496993988,-0.0008141554666666666,1.6954587134132387e-06,0.00019232926666666668,1.189374315437416e-06,0.3,0.001
108,456.37274549098197,-0.0008256314,1.6430378084511546e-06,0.0002005824666666667,1.1939493773002096e-06,0.3,0.001
109,460.32064128256513,-0.0008369880333333333,1.6467673278949297e-06,0.0002088178,1.196183358296992e-06,0.3,0.001
110,464.2685370741483,-0.0008483705,1.6537646497209588e-06,0.0002171725,1.2243907804836369e-06,0.3,0.001
111,468.21643286573146,-0.0008597947666666667,1.6608614367918343e-06,0.00022579126666666665,1.262429111761221e-06,0.3,0.001
112,472.1643286573146,-0.0008712468,1.6683492520052994e-06,0.0002345314,1.2707414003906033e-06,0.3,0.001
113,476.1122244488978,-0.000882838,1.6895826506369396e-06,0.00024339283333333332,1.299003132747913e-06,0.3,0.001
114,480.06012024048096,-0.0008943913666666668,1.6809350271666016e-06,0.0002523064666666667,1.3042011279792032e-06,0.3,0.001
115,484.0080160320641,-0.0009060262000000001,1.6806620203558626e-06,0.00026137240000000003,1.3206393552619384e-06,0.3,0.001
116,487.95591182364734,-0.0009175278999999999,1.6623638059502313e-06,0.0002705929666666667,1.3347912067269408e-06,0.3,0.001
117,491.9038076152305,-0.0009290453999999999,1.6736152006957927e-06,0.00027994496666666665,1.3709814606899542e-06,0.3,0.001
118,495.85170340681367,-0.0009406187666666667,1.6899917097101114e-06,0.00028948183333333334,1.3973022122011497e-06,0.3,0.001
119,499.79959919839683,-0.0009521700666666666,1.679448499425396e-06,0.0002990920666666667,1.4061728422289407e-06,0.3,0.001
120,503.74749498998,-0.0009665129333333334,4.046485684585532e-06,0.00031120763333333324,3.4426874626598888e-06,0.1,0.001
121,507.69539078156316,-0.0009834483666666667,3.1054372368834506e-06,0.00032587246666666674,2.7085679578371747e-06,0.1,0.001
122,511.6432865731463,-0.0009972249666666665,3.0490230400718293e-06,0.0003380517,2.7352077087490076e-06,0.1,0.002
123,515.5911823647295,-0.0010094876666666666,2.3575293329151983e-06,0.00034933273333333334,2.0811858628088816e-06,0.1,0.002
124,519.5390781563126,-0.0010208996666666666,2.4398749740281535e-06,0.0003594457,2.1567135515254062e-06,0.1,0.002
125,523.4869739478959,-0.0010326933333333333,2.4379804939516712e-06,0.0003699082666666667,2.1948224519435654e-06,0.1,0.002
126,527.4348697394789,-0.001044102333333333,2.4014630031619382e-06,0.00038048213333333333,2.231741065227375e-06,0.1,0.002
127,531.3827655310622,-0.0010554583333333334,2.418146788118716e-06,0.0003913341,2.276248190187826e-06,0.1,0.002
128,535.3306613226453,-0.0010669823333333335,2.426983976507106e-06,0.000402067,2.2816073866173077e-06,0.1,0.002
129,539.2785571142285,-0.001078518,2.403593698333116e-06,0.0004131336333333333,2.326142751184651e-06,0.1,0.002
130,543.2264529058117,-0.001089946,2.410493172222926e-06,0.0004243511666666667,2.357437748677341e-06,0.1,0.002
131,547.1743486973949,-0.0011014023333333334,2.3981516261951067e-06,0.0004357158666666667,2.3896252528145294e-06,0.1,0.002
132,551.122244488978,-0.0011131079999999998,2.4314075484514474e-06,0.0004471121666666667,2.429426270862227e-06,0.1,0.002
133,555.0701402805612,-0.0011244773333333332,2.3466698863614346e-06,0.0004586994,2.4082973183004914e-06,0.1,0.002
134,559.0180360721444,-0.001135841333333333,2.39839631605972e-06,0.00047038980000000004,2.479556430762026e-06,0.1,0.002
135,562.9659318637275,-0.0011472020000000002,2.381148742379046e-06,0.00048215576666666663,2.4969074830455563e-06,0.1,0.002
136,566.9138276553107,-0.0011585906666666667,2.3832106262118346e-06,0.0004942891666666667,2.530200678251076e-06,0.1,0.002
137,570.8617234468938,-0.001169864,2.3711594913318992e-06,0.0005062975333333333,2.5365343907693293e-06,0.1,0.002
138,574.809619238477,-0.0011811449999999995,2.3759710295652527e-06,0.0005183932666666666,2.5744171241057395e-06,0.1,0.002
139,578.7575150300602,-0.001192347,2.340503008614458e-06,0.0005309181666666667,2.608014226486423e-06,0.1,0.002
140,582.7054108216433,-0.0012035046666666667,2.375018222152298e-06,0.0005433637,2.6263238839361273e-06,0.1,0.002
141,586.6533066132265,-0.0012147936666666666,2.3600402303539085e-06,0.0005559243999999999,2.611258593092611e-06,0.1,0.002
142,590.6012024048097,-0.0012261823333333333,2.389455563279812e-06,0.0005687750333333333,2.68422594035765e-06,0.1,0.002
143,594.5490981963928,-0.001237384,2.36196895266076e-06,0.0005816576666666667,2.7153222317474963e-06,0.1,0.002
144,598.496993987976,-0.001248482,2.315955382414208e-06,0.0005946117000000001,2.69896495160645e-06,0.1,0.002
145,602.4448897795592,-0.0012595889999999998,2.3392097668514693e-06,0.0006076095666666667,2.7630269474296194e-06,0.1,0.002
146,606.3927855711423,-0.0012706473333333333,2.321209359124864e-06,0.0006208456666666667,2.787524939599447e-06,0.1,0.002
147,610.3406813627255,-0.0012817853333333333,2.34249117157117e-06,0.0006340461333333333,2.79691534532043e-06,0.1,0.002
148,614.2885771543087,-0.0012928563333333332,2.295253774398145e-06,0.0006476360666666667,2.8431051326948134e-06,0.1,0.002
149,618.2364729458918,-0.001303827,2.3094749042440985e-06,0.0006612815333333334,2.87757738075316e-06,0.1,0.002
150,622.184368737475,-0.0013146513333333334,2.275610882573935e-06,0.0006747877999999999,2.8499837356261117e-06,0.1,0.002
151,626.1322645290581,-0.0013254956666666666,2.293487422148981e-06,0.0006886082666666667,2.94438868509049e-06,0.1,0.002
152,630.0801603206413,-0.001336295666666667,2.2815881651945063e-06,0.0007025716333333332,2.9215711923932687e-06,0.1,0.002
153,634.0280561122245,-0.0013473230000000003,2.3040126591087384e-06,0.0007167376333333334,2.972495477802369e-06,0.1,0.002
154,637.9759519038076,-0.0013582066666666668,2.2381142856332307e-06,0.0007310546333333333,2.9361240832468643e-06,0.1,0.002
155,641.9238476953908,-0.0013688043333333335,2.2368902272773545e-06,0.0007452962666666665,2.999022050972989e-06,0.1,0.002
156,645.871743486974,-0.0013795053333333332,2.237274731056103e-06,0.0007597205333333333,3.032557245772771e-06,0.1,0.002
157,649.8196392785571,-0.001390163,2.2350289334443395e-06,0.0007737872333333333,2.8664641713364565e-06,0.1,0.002
158,653.7675350701403,-0.0014005973333333335,2.2175796616030595e-06,0.0007880725000000001,3.130518090774547e-06,0.1,0.002
159,657.7154308617235,-0.001411215,2.2159915011870694e-06,0.0008032041333333335,3.153817747147447e-06,0.1,0.002
160,661.6633266533066,-0.0014215986666666666,2.1544399633212176e-06,0.0008180894,3.100616214023693e-06,0.1,0.002
161,665.6112224448898,-0.001432144,2.2251166261569193e-06,0.0008331931666666664,3.203443314969411e-06,0.1,0.002
162,669.559118236473,-0.001442356,2.1700377876894293e-06,0.0008483606333333333,3.1731684111555566e-06,0.1,0.002
163,673.5070140280561,-0.001452843,2.1617418131374213e-06,0.0008634723666666666,3.184965143538572e-06,0.1,0.002
164,677.4549098196393,-0.0014629873333333334,2.1280772751215677e-06,0.0008786318,3.191576124738368e-06,0.1,0.002
